std_name,Collection,Y_2046,Y_1088,DSM70459,CYC1058,Y_27106,NCYC1006,NCYC777,NBRC1802,NBRC815,Y_5509,MS300c,BY4741,Killer,Killer_Y_2046,Only_Y_2046,KHR,KHS,Func_KHR,Func_KHS
AAA,Liti1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,missing,truncated,0,0
AAB,Liti1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mutant,mutant,1,1
AAD,Liti1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mutant,truncated,1,0
AAE,Liti1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mutant,truncated,1,0
AAG,Liti1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,truncated,truncated,0,0
AAH,Liti1011,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,mutant,mutant,1,1
AAI,Liti1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mutant,mutant,1,1
AAK,Liti1011,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,missing,mutant,0,1
AAL,Liti1011,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,missing,mutant,0,1
AAM,Liti1011,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,missing,mutant,0,1
AAN,Liti1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mutant,mutant,1,1
AAP,Liti1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mutant,mutant,1,1
AAQ,Liti1011,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,mutant,mutant,1,1
AAR,Liti1011,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,missing,mutant,0,1
AAS,Liti1011,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,mutant,canonical,1,1
AAT,Liti1011,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,missing,canonical,0,1
AAV,Liti1011,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,mutant,truncated,1,0
ABA,Liti1011,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,mutant,missing,1,0
ABB,Liti1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,truncated,truncated,0,0
ABC,Liti1011,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,truncated,truncated,0,0
ABD,Liti1011,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,missing,truncated,0,0
ABE,Liti1011,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,mutant,mutant,1,1
